genre,playlist title,playlist url,playlist id,count,,,,
techno,techno bunker,https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=01091b2c1756406e,,65,,,,
soul,sweet soul chillout,https://open.spotify.com/playlist/37i9dQZF1DXbcgQ8d7s0A0?si=2de4e27581c3492f,,65,,,,
soul,uplifting soul classics,https://open.spotify.com/playlist/37i9dQZF1DWTx0xog3gN3q?si=8f16c1f0d5844fdf,,41,,,,
ska,the essential ska,https://open.spotify.com/playlist/37i9dQZF1DX7WJ4yDmRK8R?si=56c4c8d4e19545d4,,100,,,,
singer songwriter,classic acoustic,https://open.spotify.com/playlist/37i9dQZF1DX504r1DvyvxG?si=7267d7d7e4b04681,,100,,,,
singer songwriter,acoustic hits,https://open.spotify.com/playlist/37i9dQZF1DX4VvfRBFClxm?si=9791da28f9fc4fd3,,100,,,,
salsa,pura salsa,https://open.spotify.com/playlist/37i9dQZF1DX1UHxedJfnRM?si=7fb6a05d5c87435c,,80,,,,
rock,rock classics,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U?si=a27f5e8d4d51451f,,150,,,,
rock,pure rock and roll,https://open.spotify.com/playlist/37i9dQZF1DWWRktbhJiuqL?si=6ab56f2eee504313,,100,,,,
rnb,are and be,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd?si=4e03d4d3bf864bea,,50,,,,
rnb,dope,https://open.spotify.com/playlist/37i9dQZF1DWSrdTgewhgZq?si=8d094d765e364390,,65,,,,
reggaeton,pegao,https://open.spotify.com/playlist/37i9dQZF1DX1HCSfq0nSal?si=e4f5de3fcd18424e,,50,,,,
reggaeton,perrear y llorar,https://open.spotify.com/playlist/37i9dQZF1DWXYWuNDAdJsw?si=5c274103e9d84297,,94,,,,
reggae,reggae classics,https://open.spotify.com/playlist/37i9dQZF1DXbSbnqxMTGx9?si=c36031e0408c4a9d,,60,,,,
reggae,sunshine reggae,https://open.spotify.com/playlist/37i9dQZF1DXbwoaqxaoAVr?si=39f3fc7ff0994959,,70,,,,
punk,punk essentials,https://open.spotify.com/playlist/37i9dQZF1DXd6tJtr4qeot?si=18a5b73932d54a45,,50,,,,
punk,skatepark punks,https://open.spotify.com/playlist/37i9dQZF1DX3MU5XUozve7?si=6574539457564eb0,,100,,,,
punk,classic punk,https://open.spotify.com/playlist/37i9dQZF1DX3LDIBRoaCDQ?si=3e3968240e904562,,50,,,,
pop,today's top hits,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M?si=e74d074a8198453f,,50,,,,
pop,la lista pop,https://open.spotify.com/playlist/37i9dQZF1DWSpF87bP6JSF?si=016373de0bf44290,,50,,,,
metal,heavy metal,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=1ac4768ec7b843e5,,140,,,,
metal,kickass metal,https://open.spotify.com/playlist/37i9dQZF1DWTcqUzwhNmKv?si=3d063cb96c184397,,60,,,,
k pop,kpop deabak,https://open.spotify.com/playlist/37i9dQZF1DX9tPFwDMOaN1?si=3da430f7111647d1,,51,,,,
jazz,jazz classics,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=e1e4ed9204d441b4,,200,,,,
jazz,jazz vibes,https://open.spotify.com/playlist/37i9dQZF1DX0SM0LYsmbMT?si=10934c3d5f8b4c47,,300,,,,
indie,todo indie,https://open.spotify.com/playlist/37i9dQZF1DX2rVwh3lcWku?si=7f8eb41020874a90,,90,,,,
indie,women of indie,https://open.spotify.com/playlist/37i9dQZF1DX91UQmVbQYyN?si=5dc90771ee3a49da,,100,,,,
house,house supreme,https://open.spotify.com/playlist/37i9dQZF1DXacX3REVaOqV?si=3f2605fe79994352,,150,,,,
hip hop,rap espanol,https://open.spotify.com/playlist/37i9dQZF1DXcd2Vmhfon1w?si=5b313f0d7bb54085,,53,,,,
hip hop,hip hop anthems def jam,https://open.spotify.com/playlist/37i9dQZF1DX7Mq3mO5SSDc?si=e652f7928d14462d,,50,,,,
hip hop,feelin myself,https://open.spotify.com/playlist/37i9dQZF1DX6GwdWRQMQpq?si=77bbd9f279bb4ebe,,50,,,,
grunge,grunge forever,https://open.spotify.com/playlist/37i9dQZF1DX11ghcIxjcjE?si=91f3738314924e98,,50,,,,
grunge,grunge hits,https://open.spotify.com/playlist/3yPIwFAm6vLZn8JbyyjXaP?si=03d9ef3ff9d34ead,,104,,,,
funk,all funked up,https://open.spotify.com/playlist/37i9dQZF1DX4WgZiuR77Ef?si=57b81e38ce1d4230,,108,,,,
funk,funk and soul,https://open.spotify.com/playlist/37i9dQZF1DWWvhKV4FBciw?si=77f36452c7cb4dfb,,80,,,,
flamenco,rumba que tumba,https://open.spotify.com/playlist/37i9dQZF1DX4ftaIFupZN4?si=d9f2a5ca57464e12,,65,,,,
flamenco,flamenco al dia,https://open.spotify.com/playlist/37i9dQZF1DWYJd705x6Zbc?si=19d03f4c16ff4097,,80,,,,
flamenco,flamenco 100%,https://open.spotify.com/playlist/37i9dQZF1DWTfrrcwZAlVH?si=af4ecd62d108423e,,60,,,,
dance,dance party,https://open.spotify.com/playlist/37i9dQZF1DXaXB8fQg7xif?si=b9c57409a219417c,,125,,,,
dance,electronica maxima,https://open.spotify.com/playlist/37i9dQZF1DX6QbU3i33zqm?si=137cffe6fb9648a9,,100,,,,
cumbia,100% cumbia,https://open.spotify.com/playlist/37i9dQZF1DX8yLfjPY8emY?si=b19fda864d0f468b,,50,,,,
cumbia,esto es cumbia,https://open.spotify.com/playlist/37i9dQZF1DWT1viuVscXm2?si=917660ae8b4d4d82,,100,,,,
country,hot country,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda?si=6b3b36f4843c4408,,53,,,,
country,country gold,https://open.spotify.com/playlist/37i9dQZF1DWYnwbYQ5HnZU?si=2b7b31fef9394292,,74,,,,
clasica,classical essentials,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=cac6e38a2032467e,,157,,,,
blues,blues classics,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=353eb07f93b3401b,,70,,,,
blues,nu blue,https://open.spotify.com/playlist/37i9dQZF1DXb3MZdETGqKB?si=b8a473da40e1490e,,64,,,,
ambient,ambient essentials,https://open.spotify.com/playlist/37i9dQZF1DWUrPBdYfoJvz?si=300126868ed84804,,94,,,,